英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Meriem Boubdir,23137,vC2BaXIAAAAJ,,,https://de.linkedin.com/in/mboubdir
Thomas Ertl,23020,qFQ9jHkAAAAJ,,,
Paul Haeberli,22978,236LzcwAAAAJ,,,
Arantxa Casanova,22880,iFhSTbAAAAAJ,,arcp_8,
Peter Shirley,22757,nHx9IgYAAAAJ,,,
Ruigang Yang,22620,yveq40QAAAAJ,,,
Peter Wonka,22589,0EKXSXgAAAAJ,,peter_wonka,
Douwe Kiela,22448,Q0piorUAAAAJ,,douwekiela,https://www.linkedin.com/in/douwekiela
Antoni Sagristà,22353,txfUwvgAAAAJ,,,
Ah Chung Tsoi,22339,iZqQuD8AAAAJ,,,
David Luebke,22266,AE7Xvl0AAAAJ,,davedotluebke,https://www.linkedin.com/in/david-p-luebke
Mu Li,22225,Z_WrhK8AAAAJ,,mli65,https://www.linkedin.com/in/mulicmu
Ben Mildenhall,22186,NozIDL8AAAAJ,,benmildenhall,https://www.linkedin.com/in/ben-mildenhall-86b4739b
Manolis Savva,22114,4D2vsdYAAAAJ,,,https://ca.linkedin.com/in/manolis-savva-39591a2b
Lei Xu,21880,rN2ny9kAAAAJ,"http://www.cs.sjtu.edu.cn/~lxu/,  http://www.cse.cuhk.edu.hk/~lxu/",,
Ralph R. Martin,21668,INLQHkrsd2QJ,,,
Sebastien Bubeck,21662,V2Y1L4sAAAAJ,,SebastienBubeck,https://www.linkedin.com/in/sebastien-bubeck-6b558a1a5
Gabriel Taubin,21646,saeqVMUAAAAJ,,,https://www.linkedin.com/in/gabriel-taubin-04631710
Peter Zhang,21639,yiYneb4AAAAJ,,,https://www.linkedin.com/in/peter-zhang-6410938
Pratul Srinivasan,21456,aYyDsZ0AAAAJ,,_pratul_,https://www.linkedin.com/in/pratul-srinivasan-a6662923
Olga Sorkine-Hornung,21414,GBU568oAAAAJ,,OlgaSorkineH,https://ch.linkedin.com/in/olga-sorkine-hornung
Jimei Yang,21364,GwKF9rMAAAAJ,,jimei_yang,https://www.linkedin.com/in/jimei-yang-841b3722/
Fuad E. Alsaadi,21133,mivIUmgAAAAJ,,,
Andrew L. Maas,20989,emiAAG0AAAAJ,http://www.andrewmaas.com/,AndrewLeeMaas,https://www.linkedin.com/in/andrewleemaas
Takeo Igarashi,20893,2LJJtI8AAAAJ,,,https://jp.linkedin.com/in/takeo-igarashi-2154aa270
Michael Zollhoefer,20788,eQ8ZIG4AAAAJ,,MZollhoefer,https://www.linkedin.com/in/michael-zollhoefer-a785141a1
Marc Alexa,20580,KNwXLLsAAAAJ,,,
Anthony Steed,20572,mPvFg_8AAAAJ,,anthony_steed,https://uk.linkedin.com/in/anthonysteed?trk=public_post_reshare-text
Sergey Edunov,20117,5w7uYrIAAAAJ,,edunov,https://www.linkedin.com/in/edunov
Thomas Nordahl Petersen,19802,VG1qxcEAAAAJ,,,
Azlan Hussain,19727,8zlcaTgAAAAJ,,,https://my.linkedin.com/in/mohd-azlan-hussain-7255151a1
Hong Wei Dong,19656,HBUUCzcAAAAJ,http://www.mouseconnectome.org/,,https://www.linkedin.com/in/hongwei-dong-6351142b
Michael Gleicher,19642,kDkH9UkAAAAJ,,,https://www.linkedin.com/in/mikegleicher
Ulrich Neumann,19614,MHet2VoAAAAJ,,,
Blair MacIntyre,19491,UA3tyKwAAAAJ,,,https://www.linkedin.com/in/blair-macintyre/
Robert C Welsh,19417,MUxygkEAAAAJ,,,
Jacek M. Zurada,19370,_rOWhBkAAAAJ,http://ci.louisville.edu/zurada/,jacekzurada,https://www.linkedin.com/groups/3722925
Yan-Jun Liu,19299,x_Wk1jAAAAAJ,http://www.scholat.com/liuyanjun,,
David Luan,19127,cItVg2MAAAAJ,,jluan,https://www.linkedin.com/in/jluan
Erich Elsen,19066,5d2Ss9EAAAAJ,,erich_elsen,https://www.linkedin.com/in/eric-elsen-63b4871
Pablo Lemos,18549,AklQTTsAAAAJ,,PabloLemosP,https://www.linkedin.com/in/plemosp/
Bao-Liang Lu （吕宝粮）,18506,709il6EAAAAJ,http://bcmi.sjtu.edu.cn/~blu/,,https://cn.linkedin.com/in/bao-liang-lu-0832552b
Klaus Greff,18404,OcownLgAAAAJ,http://qwlouse.github.io/,,
Zhihong Man,18238,dG87s78AAAAJ,https://www.swinburne.edu.au/,ZhihongMan,https://au.linkedin.com/in/man-zhihong-9a984022
Thibaut Lavril,17944,9nPunCEAAAAJ,,LavrilThibaut,https://fr.linkedin.com/in/thibaut-lavril
Andrew R Barron,17844,JcaWZAQAAAAJ,http://www.stat.yale.edu/~arb4,,https://www.linkedin.com/in/andrew-barron-7a6b5280
Rufin VanRullen,17836,1pwyaYgAAAAJ,https://rufinv.github.io/,,https://fr.linkedin.com/in/rufin-vanrullen-6b53122ba?trk=public_post_main-feed-card-text
Mustafa Suleyman,17831,hkDGEVQAAAAJ,,mustafasuleyman,https://www.linkedin.com/in/mustafa-suleyman
Patrick Esser,17690,ang8MoQAAAAJ,,pess_r,
Mirco Musolesi,17671,8t4SqVwAAAAJ,,mircomusolesi,https://www.linkedin.com/in/mircomusolesi
Steve Furber,17454,jLnsiBEAAAAJ,http://apt.cs.manchester.ac.uk/people/sfurber/,,https://uk.linkedin.com/in/stevebfurber
Daniel Soudry,17367,AEBWEm8AAAAJ,https://soudry.github.io/,,
Marie-Anne Lachaux,17297,dSEMIJ8AAAAJ,,MaLachaux,https://fr.linkedin.com/in/marieannelachaux
Benjamin Schrauwen,17156,i6gy5ZQAAAAJ,,,
