name,github,area,personal_page,twitter,linkedin,image,famous_work,link,Company,Job
Myle Ott,https://github.com/myleott,NLP,https://myleott.com/,https://x.com/myleott,https://www.linkedin.com/in/myleott/,https://avatars.githubusercontent.com/u/231798?v=4,Fairseq,https://github.com/facebookresearch/fairseq,Thinking Machines Lab,member of technical staff
Meng Zhang,https://github.com/wsxiaoys,AI Agent,,https://x.com/mzh1024,https://www.linkedin.com/in/mzh0,https://pbs.twimg.com/profile_images/1710042262972059648/v_77IUf-_400x400.jpg,Tabby,https://github.com/TabbyML/tabby,TabbyML,Co-founder
Kai Chen,https://github.com/hellock,Computer Vision,https://chenkai.site/,,,https://avatars.githubusercontent.com/u/9102141?v=4,MMDetection,https://github.com/open-mmlab/mmdetection,Shanghai AI Laboratory,Research Scientist & Head of Large Model Center
Jo?o Moura,https://github.com/joaomdmoura,AI Agent,https://crewai.com/,https://twitter.com/joaomdmoura,,https://avatars.githubusercontent.com/u/667063?v=4,CrewAI,https://github.com/crewAIInc/crewAI,CrewAI,Founder
Lutz Roeder,https://github.com/lutzroeder,Visualization,https://www.lutzroeder.com/,https://x.com/lutzroeder,,https://avatars.githubusercontent.com/u/438516?v=4,Netron,https://github.com/lutzroeder/netron,Microsoft,Software Engineer
Neha Narkhede,https://github.com/nehanarkhede,Cloud Computing,https://www.nehanarkhede.com/,https://x.com/nehanarkhede,,https://images.squarespace-cdn.com/content/v1/6693c30fe5bdb53ab0742fd2/cf2f19c6-3641-4f3d-8ba2-0915d517d7c8/Neha+professional+headshot.jpeg?format=2500w,Kafka,https://github.com/apache/kafka,Oscilar,Co-founder
William Falcon,https://github.com/williamFalcon,AI Infra,https://www.williamfalcon.com/,https://x.com/_willfalcon,https://www.linkedin.com/in/wfalcon,https://avatars.githubusercontent.com/u/3640001?v=4,pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Lightning AI,CEO
Samy Pess¨¦,https://github.com/SamyPesse,Full-stack,https://www.gitbook.com/,https://x.com/SamyPesse,,https://avatars.githubusercontent.com/u/845425?v=4,Gitbook,https://github.com/GitbookIO/gitbook,Gitbook,CTO
Wei Liu(ÁõÎ¬),https://github.com/thinkwee,LLM,https://thinkwee.top/,https://x.com/thinkwee2767,,https://thinkwee.top/img/avatar.jpg,ChatDev,https://github.com/OpenBMB/ChatDev,KCL,PHD
Rakpong Kittinaradorn,https://github.com/rkcosmos,Computer Vision,,https://x.com/JaidedAI,,https://avatars.githubusercontent.com/u/12238328?v=4,EasyOCR,https://github.com/JaidedAI/EasyOCR,Jaided AI,Co-founder
Igor Sysoev,https://github.com/igorsysoev,Web,http://sysoev.ru/en/,https://x.com/isysoev?lang=en,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpYbEZ_2H6SbG03twmdwv_AqAJpcGXrV72CA&s,NGINX ,https://github.com/nginx/nginx,F5 Networks,Researcher
Jeremy Howard,https://github.com/jph00,AI,https://jeremy.fast.ai/,https://x.com/jeremyphoward,,https://jeremy.fast.ai/images/jeremy.jpg,fastai,https://github.com/fastai/fastai,answer.ai,CEO
Yuanming Hu,https://github.com/yuanming-hu,Graphics,https://yuanming.taichi.graphics/,https://x.com/yuanmingh,https://www.linkedin.com/in/ethan-yuanming-hu/,https://avatars.githubusercontent.com/u/6553256?v=4,Taichi,https://github.com/taichi-dev/taichi,Meshy,CEO
Casper da Costa-Luis,https://github.com/casperdcl,Python,https://cdcl.ml/,,,https://i.ytimg.com/vi/eUukO8sKHV4/maxresdefault.jpg,Tqdm,https://github.com/tqdm/tqdm,Prem AI,Tech lead 
